exp,run,semilla,steps,stiter,k,lambda,tiempo_ms,coste
3,5,10672,10000,100,25,0.1,275.00,2722.24
3,5,10672,10000,100,25,0.5,93.00,2907.50
3,6,16556,1000,100,1,0.001,65.00,2629.28
3,6,16556,1000,100,1,0.01,67.00,2657.59
3,6,16556,1000,100,1,0.1,68.00,2711.70
3,6,16556,1000,100,1,0.5,67.00,2703.58
3,6,16556,1000,100,5,0.001,63.00,2668.55
3,6,16556,1000,100,5,0.01,68.00,2636.60
3,6,16556,1000,100,5,0.1,66.00,2654.29
3,6,16556,1000,100,5,0.5,59.00,2645.94
3,6,16556,1000,100,10,0.001,62.00,2750.53
3,6,16556,1000,100,10,0.01,66.00,2693.70
3,6,16556,1000,100,10,0.1,67.00,2694.58
3,6,16556,1000,100,10,0.5,67.00,2695.74
3,6,16556,1000,100,25,0.001,67.00,2987.45
3,6,16556,1000,100,25,0.01,62.00,2717.60
3,6,16556,1000,100,25,0.1,61.00,2769.02
3,6,16556,1000,100,25,0.5,73.00,2711.97
3,6,16556,5000,100,1,0.001,204.00,2557.52
3,6,16556,5000,100,1,0.01,184.00,2531.48
3,6,16556,5000,100,1,0.1,207.00,2535.72
3,6,16556,5000,100,1,0.5,103.00,2591.01
3,6,16556,5000,100,5,0.001,214.00,2556.41
3,6,16556,5000,100,5,0.01,199.00,2520.66
3,6,16556,5000,100,5,0.1,182.00,2558.73
3,6,16556,5000,100,5,0.5,86.00,2636.28
3,6,16556,5000,100,10,0.001,167.00,2548.64
3,6,16556,5000,100,10,0.01,186.00,2543.86
3,6,16556,5000,100,10,0.1,186.00,2560.13
3,6,16556,5000,100,10,0.5,81.00,2633.28
3,6,16556,5000,100,25,0.001,210.00,2658.10
3,6,16556,5000,100,25,0.01,239.00,2544.98
3,6,16556,5000,100,25,0.1,228.00,2608.05
3,6,16556,5000,100,25,0.5,78.00,2685.36
3,6,16556,10000,100,1,0.001,309.00,2533.81
3,6,16556,10000,100,1,0.01,299.00,2505.16
3,6,16556,10000,100,1,0.1,273.00,2521.49
3,6,16556,10000,100,1,0.5,80.00,2630.40
3,6,16556,10000,100,5,0.001,318.00,2543.48
3,6,16556,10000,100,5,0.01,338.00,2514.32
3,6,16556,10000,100,5,0.1,222.00,2543.62
3,6,16556,10000,100,5,0.5,89.00,2630.94
3,6,16556,10000,100,10,0.001,272.00,2498.58
3,6,16556,10000,100,10,0.01,271.00,2529.58
3,6,16556,10000,100,10,0.1,267.00,2524.46
3,6,16556,10000,100,10,0.5,84.00,2628.82
3,6,16556,10000,100,25,0.001,280.00,2575.56
3,6,16556,10000,100,25,0.01,288.00,2558.38
3,6,16556,10000,100,25,0.1,256.00,2524.35
3,6,16556,10000,100,25,0.5,85.00,2664.82
3,7,13438,1000,100,1,0.001,58.00,2328.91
3,7,13438,1000,100,1,0.01,58.00,2364.20
3,7,13438,1000,100,1,0.1,71.00,2346.17
3,7,13438,1000,100,1,0.5,60.00,2355.25
3,7,13438,1000,100,5,0.001,63.00,2349.47
3,7,13438,1000,100,5,0.01,63.00,2335.99
3,7,13438,1000,100,5,0.1,61.00,2314.60
3,7,13438,1000,100,5,0.5,60.00,2320.44
3,7,13438,1000,100,10,0.001,64.00,2499.67
3,7,13438,1000,100,10,0.01,66.00,2334.57
3,7,13438,1000,100,10,0.1,65.00,2322.54
3,7,13438,1000,100,10,0.5,63.00,2347.34
3,7,13438,1000,100,25,0.001,71.00,2513.95
3,7,13438,1000,100,25,0.01,64.00,2461.24
3,7,13438,1000,100,25,0.1,69.00,2415.92
3,7,13438,1000,100,25,0.5,70.00,2384.35
3,7,13438,5000,100,1,0.001,178.00,2231.53
3,7,13438,5000,100,1,0.01,162.00,2259.27
